Country,Area,Year,mean_temp
BLR,Belarus,1998,0.680333333
BLR,Belarus,1999,1.839833333
BLR,Belarus,2000,2.035833333
BLR,Belarus,2001,1.239416667
BLR,Belarus,2002,1.772583333
BLR,Belarus,2003,0.783916667
BLR,Belarus,2004,0.973333333
BLR,Belarus,2005,1.072
BLR,Belarus,2006,1.053333333
BLR,Belarus,2007,2.055083333
BLR,Belarus,2008,2.249583333
BLR,Belarus,2009,1.331083333
BLR,Belarus,2010,1.188083333
BLR,Belarus,2011,1.671833333
BLR,Belarus,2012,0.9385
BLR,Belarus,2013,1.667
BLR,Belarus,2014,1.944916667
BLR,Belarus,2015,2.57
BLR,Belarus,2016,1.907666667
BLR,Belarus,2017,1.774166667
BLR,Belarus,2018,2.103166667
BLR,Belarus,2019,2.9815
BEL,Belgium,2000,1.581083333
BEL,Belgium,2001,1.074666667
BEL,Belgium,2002,1.565666667
BEL,Belgium,2003,1.498
BEL,Belgium,2004,0.97675
BEL,Belgium,2005,1.218666667
BEL,Belgium,2006,1.616083333
BEL,Belgium,2007,1.700166667
BEL,Belgium,2008,1.150083333
BEL,Belgium,2009,1.169083333
BEL,Belgium,2010,-0.07425
BEL,Belgium,2011,1.85475
BEL,Belgium,2012,1.034166667
BEL,Belgium,2013,0.540666667
BEL,Belgium,2014,2.341916667
BEL,Belgium,2015,1.739916667
BEL,Belgium,2016,1.468583333
BEL,Belgium,2017,1.7495
BEL,Belgium,2018,2.31
BEL,Belgium,2019,2.071
BIH,Bosnia and Herzegovina,1992,0.885333333
BIH,Bosnia and Herzegovina,1993,0.466333333
BIH,Bosnia and Herzegovina,1994,1.63025
BIH,Bosnia and Herzegovina,1995,0.328833333
BIH,Bosnia and Herzegovina,1996,-0.166083333
BIH,Bosnia and Herzegovina,1997,0.3055
BIH,Bosnia and Herzegovina,1998,0.716416667
BIH,Bosnia and Herzegovina,1999,0.917583333
BIH,Bosnia and Herzegovina,2000,1.722416667
BIH,Bosnia and Herzegovina,2001,1.004916667
BIH,Bosnia and Herzegovina,2002,1.5235
BIH,Bosnia and Herzegovina,2003,1.110166667
BIH,Bosnia and Herzegovina,2004,0.686166667
BIH,Bosnia and Herzegovina,2005,0.020166667
BIH,Bosnia and Herzegovina,2006,0.780583333
BIH,Bosnia and Herzegovina,2007,1.67
BIH,Bosnia and Herzegovina,2008,1.63575
BIH,Bosnia and Herzegovina,2009,1.4265
BIH,Bosnia and Herzegovina,2010,0.86625
BIH,Bosnia and Herzegovina,2011,1.334583333
BIH,Bosnia and Herzegovina,2012,1.607083333
BIH,Bosnia and Herzegovina,2013,1.519416667
BIH,Bosnia and Herzegovina,2014,1.913666667
BIH,Bosnia and Herzegovina,2015,1.841333333
BIH,Bosnia and Herzegovina,2016,1.55675
BIH,Bosnia and Herzegovina,2017,1.54175
BIH,Bosnia and Herzegovina,2018,2.256166667
BIH,Bosnia and Herzegovina,2019,2.223583333
BOT,Botswana,1961,0.11025
BOT,Botswana,1962,0.204166667
BOT,Botswana,1963,-0.489583333
BOT,Botswana,1964,-0.059666667
BOT,Botswana,1965,0.289916667
BOT,Botswana,1966,0.355
BOT,Botswana,1967,-0.489166667
BOT,Botswana,1968,-0.144583333
BOT,Botswana,1969,0.107666667
BOT,Botswana,1970,0.670416667
BOT,Botswana,1971,-0.093166667
BOT,Botswana,1972,-0.232583333
BOT,Botswana,1973,0.295333333
BOT,Botswana,1974,-0.659416667
BOT,Botswana,1975,-0.212416667
BOT,Botswana,1976,-0.697083333
BOT,Botswana,1977,0.181583333
BOT,Botswana,1978,-0.103083333
BOT,Botswana,1979,0.4575
BOT,Botswana,1980,-0.01425
BOT,Botswana,1981,-0.431083333
BOT,Botswana,1982,0.399333333
BOT,Botswana,1983,0.97725
BOT,Botswana,1984,0.485916667
BOT,Botswana,1985,0.267583333
BOT,Botswana,1986,0.313
BOT,Botswana,1987,1.076833333
BOT,Botswana,1988,0.080166667
BOT,Botswana,1989,-0.118583333
BOT,Botswana,1990,0.804333333
BOT,Botswana,1991,0.057583333
BOT,Botswana,1992,1.12425
BOT,Botswana,1993,0.65275
BOT,Botswana,1994,0.133333333
BOT,Botswana,1995,1.096333333
BOT,Botswana,1996,-0.028
BOT,Botswana,1997,0.225416667
BOT,Botswana,1998,0.907916667
BOT,Botswana,1999,0.76475
BOT,Botswana,2000,-0.398333333
BOT,Botswana,2001,0.018
BOT,Botswana,2002,0.629666667
BOT,Botswana,2003,1.041416667
BOT,Botswana,2004,0.090833333
BOT,Botswana,2005,1.204
BOT,Botswana,2006,-0.083333333
BOT,Botswana,2007,0.34025
BOT,Botswana,2008,0.731916667
BOT,Botswana,2009,0.125333333
BOT,Botswana,2010,1.152416667
BOT,Botswana,2011,0.316083333
BOT,Botswana,2012,0.831666667
BOT,Botswana,2013,0.989583333
BOT,Botswana,2014,0.256916667
BOT,Botswana,2015,2.029833333
BOT,Botswana,2016,1.4125
BOT,Botswana,2017,0.202666667
BOT,Botswana,2018,0.824166667
BOT,Botswana,2019,1.748333333
BRA,Brazil,1961,0.150583333
BRA,Brazil,1962,-0.175166667
BRA,Brazil,1963,0.161416667
BRA,Brazil,1964,-0.283083333
BRA,Brazil,1965,-0.006666667
BRA,Brazil,1966,0.029583333
BRA,Brazil,1967,0.051916667
BRA,Brazil,1968,-0.375
BRA,Brazil,1969,0.355916667
BRA,Brazil,1970,0.1645
BRA,Brazil,1971,-0.217166667
BRA,Brazil,1972,0.109583333
BRA,Brazil,1973,0.385833333
BRA,Brazil,1974,-0.238
BRA,Brazil,1975,-0.096666667
BRA,Brazil,1976,-0.16875
BRA,Brazil,1977,0.234833333
BRA,Brazil,1978,-0.006083333
BRA,Brazil,1979,0.037416667
BRA,Brazil,1980,0.2845
BRA,Brazil,1981,0.190166667
BRA,Brazil,1982,0.278166667
BRA,Brazil,1983,0.468166667
BRA,Brazil,1984,0.297666667
BRA,Brazil,1985,0.121833333
BRA,Brazil,1986,0.335916667
BRA,Brazil,1987,0.746166667
BRA,Brazil,1988,0.433666667
BRA,Brazil,1989,0.153333333
BRA,Brazil,1990,0.510666667
BRA,Brazil,1991,0.487083333
BRA,Brazil,1992,0.376
BRA,Brazil,1993,0.557833333
BRA,Brazil,1994,0.654916667
BRA,Brazil,1995,0.794083333
BRA,Brazil,1996,0.55025
BRA,Brazil,1997,0.776333333
BRA,Brazil,1998,1.257
BRA,Brazil,1999,0.557166667
BRA,Brazil,2000,0.556916667
BRA,Brazil,2001,0.786916667
BRA,Brazil,2002,1.15
BRA,Brazil,2003,1.01325
BRA,Brazil,2004,0.8355
BRA,Brazil,2005,1.15475
BRA,Brazil,2006,0.935666667
BRA,Brazil,2007,1.0405
BRA,Brazil,2008,0.77725
BRA,Brazil,2009,1.050166667
BRA,Brazil,2010,1.181166667
BRA,Brazil,2011,0.8325
BRA,Brazil,2012,1.181833333
BRA,Brazil,2013,1.025583333
