Country,Area,Months,Year,temperature,MonthCode
ECU,Ecuador,March,1961,-0.115,3
ECU,Ecuador,April,1961,-0.338,4
ECU,Ecuador,May,1961,0.337,5
ECU,Ecuador,June,1961,-0.191,6
ECU,Ecuador,July,1961,-0.621,7
ECU,Ecuador,August,1961,-0.155,8
ECU,Ecuador,September,1961,-0.159,9
ECU,Ecuador,October,1961,-0.13,10
ECU,Ecuador,November,1961,-0.463,11
ECU,Ecuador,December,1961,0.07,12
EGY,Egypt,January,1961,1.035,1
EGY,Egypt,February,1961,-1.947,2
EGY,Egypt,March,1961,-2.072,3
EGY,Egypt,April,1961,-0.391,4
EGY,Egypt,May,1961,-0.313,5
EGY,Egypt,June,1961,1.803,6
EGY,Egypt,July,1961,-0.477,7
EGY,Egypt,August,1961,-0.254,8
EGY,Egypt,September,1961,-2.042,9
EGY,Egypt,October,1961,-1.508,10
EGY,Egypt,November,1961,-0.722,11
EGY,Egypt,December,1961,-0.044,12
ERI,Eritrea,January,1961,0,1
ERI,Eritrea,February,1961,0,2
ERI,Eritrea,March,1961,0,3
ERI,Eritrea,April,1961,0,4
ERI,Eritrea,May,1961,0,5
ERI,Eritrea,June,1961,0,6
ERI,Eritrea,July,1961,0,7
ERI,Eritrea,August,1961,0,8
ERI,Eritrea,September,1961,0,9
ERI,Eritrea,October,1961,0,10
ERI,Eritrea,November,1961,0,11
ERI,Eritrea,December,1961,0,12
EST,Estonia,January,1961,0,1
EST,Estonia,February,1961,0,2
EST,Estonia,March,1961,0,3
EST,Estonia,April,1961,0,4
EST,Estonia,May,1961,0,5
EST,Estonia,June,1961,0,6
EST,Estonia,July,1961,0,7
EST,Estonia,August,1961,0,8
EST,Estonia,September,1961,0,9
EST,Estonia,October,1961,0,10
EST,Estonia,November,1961,0,11
EST,Estonia,December,1961,0,12
ETH,Ethiopia,January,1961,0,1
ETH,Ethiopia,February,1961,0,2
ETH,Ethiopia,March,1961,0,3
ETH,Ethiopia,April,1961,0,4
ETH,Ethiopia,May,1961,0,5
ETH,Ethiopia,June,1961,0,6
ETH,Ethiopia,July,1961,0,7
ETH,Ethiopia,August,1961,0,8
ETH,Ethiopia,September,1961,0,9
ETH,Ethiopia,October,1961,0,10
ETH,Ethiopia,November,1961,0,11
ETH,Ethiopia,December,1961,0,12
FIN,Finland,January,1961,2.781,1
FIN,Finland,February,1961,5.771,2
FIN,Finland,March,1961,3.104,3
FIN,Finland,April,1961,-1.069,4
FIN,Finland,May,1961,-0.013,5
FIN,Finland,June,1961,2.193,6
FIN,Finland,July,1961,0.65,7
FIN,Finland,August,1961,-0.356,8
FIN,Finland,September,1961,0.12,9
FIN,Finland,October,1961,4.699,10
FIN,Finland,November,1961,2.587,11
FIN,Finland,December,1961,-1.645,12
FRA,France,January,1961,0.098,1
FRA,France,February,1961,3.417,2
FRA,France,March,1961,1.726,3
FRA,France,April,1961,2.68,4
FRA,France,May,1961,-0.249,5
FRA,France,June,1961,0.543,6
FRA,France,July,1961,-0.511,7
FRA,France,August,1961,-0.072,8
FRA,France,September,1961,2.906,9
FRA,France,October,1961,0.82,10
FRA,France,November,1961,-0.313,11
FRA,France,December,1961,0.435,12
GAB,Gabon,January,1961,-0.024,1
GAB,Gabon,February,1961,-0.529,2
GAB,Gabon,March,1961,-0.018,3
GAB,Gabon,April,1961,0.015,4
GAB,Gabon,May,1961,0.104,5
GAB,Gabon,June,1961,-0.708,6
GAB,Gabon,July,1961,-0.144,7
GAB,Gabon,August,1961,-0.477,8
GAB,Gabon,September,1961,-0.036,9
GAB,Gabon,October,1961,-0.165,10
GAB,Gabon,November,1961,-0.211,11
GAB,Gabon,December,1961,0.029,12
GEO,Georgia,January,1961,0,1
GEO,Georgia,February,1961,0,2
GEO,Georgia,March,1961,0,3
GEO,Georgia,April,1961,0,4
GEO,Georgia,May,1961,0,5
GEO,Georgia,June,1961,0,6
GEO,Georgia,July,1961,0,7
GEO,Georgia,August,1961,0,8
GEO,Georgia,September,1961,0,9
GEO,Georgia,October,1961,0,10
GEO,Georgia,November,1961,0,11
GEO,Georgia,December,1961,0,12
GER,Germany,January,1961,-0.202,1
GER,Germany,February,1961,4.191,2
GER,Germany,March,1961,2.76,3
GER,Germany,April,1961,3.226,4
GER,Germany,May,1961,-1.322,5
GER,Germany,June,1961,0.487,6
GER,Germany,July,1961,-1.548,7
GER,Germany,August,1961,-0.518,8
GER,Germany,September,1961,3.073,9
GER,Germany,October,1961,1.763,10
GER,Germany,November,1961,-0.353,11
GER,Germany,December,1961,-1.391,12
GHA,Ghana,January,1961,0.081,1
GHA,Ghana,February,1961,-0.554,2
GHA,Ghana,March,1961,0.063,3
GHA,Ghana,April,1961,-0.18,4
GHA,Ghana,May,1961,0.482,5
GHA,Ghana,June,1961,-0.155,6
GHA,Ghana,July,1961,-0.237,7
GHA,Ghana,August,1961,-0.425,8
GHA,Ghana,September,1961,-0.253,9
GHA,Ghana,October,1961,0.262,10
GHA,Ghana,November,1961,-0.055,11
GHA,Ghana,December,1961,-0.359,12
GRE,Greece,January,1961,0.236,1
GRE,Greece,February,1961,-1.188,2
GRE,Greece,March,1961,0.891,3
GRE,Greece,April,1961,1.887,4
GRE,Greece,May,1961,0.154,5
GRE,Greece,June,1961,0.004,6
GRE,Greece,July,1961,-0.267,7
GRE,Greece,August,1961,0.038,8
GRE,Greece,September,1961,-0.533,9
GRE,Greece,October,1961,-0.07,10
GRE,Greece,November,1961,1.608,11
GRE,Greece,December,1961,0.355,12
GRN,Grenada,January,1961,0.505,1
GRN,Grenada,February,1961,0.226,2
GRN,Grenada,March,1961,0.304,3
GRN,Grenada,April,1961,0.549,4
GRN,Grenada,May,1961,0.337,5
GRN,Grenada,June,1961,0.061,6
GRN,Grenada,July,1961,0.068,7
GRN,Grenada,August,1961,0.387,8
GRN,Grenada,September,1961,0.105,9
GRN,Grenada,October,1961,-0.349,10
GRN,Grenada,November,1961,-0.226,11
GRN,Grenada,December,1961,0.263,12
GUA,Guatemala,January,1961,0.301,1
GUA,Guatemala,February,1961,0.164,2
GUA,Guatemala,March,1961,0.218,3
GUA,Guatemala,April,1961,0.237,4
GUA,Guatemala,May,1961,-0.091,5
