Country,Area,Months,Year,temperature
ERI,Eritrea,January,1961,NA
ERI,Eritrea,February,1961,NA
ERI,Eritrea,March,1961,NA
ERI,Eritrea,April,1961,NA
ERI,Eritrea,May,1961,NA
ERI,Eritrea,June,1961,NA
ERI,Eritrea,July,1961,NA
ERI,Eritrea,August,1961,NA
ERI,Eritrea,September,1961,NA
ERI,Eritrea,October,1961,NA
ERI,Eritrea,November,1961,NA
ERI,Eritrea,December,1961,NA
EST,Estonia,January,1961,NA
EST,Estonia,February,1961,NA
EST,Estonia,March,1961,NA
EST,Estonia,April,1961,NA
EST,Estonia,May,1961,NA
EST,Estonia,June,1961,NA
EST,Estonia,July,1961,NA
EST,Estonia,August,1961,NA
EST,Estonia,September,1961,NA
EST,Estonia,October,1961,NA
EST,Estonia,November,1961,NA
EST,Estonia,December,1961,NA
ETH,Ethiopia,January,1961,NA
ETH,Ethiopia,February,1961,NA
ETH,Ethiopia,March,1961,NA
ETH,Ethiopia,April,1961,NA
ETH,Ethiopia,May,1961,NA
ETH,Ethiopia,June,1961,NA
ETH,Ethiopia,July,1961,NA
ETH,Ethiopia,August,1961,NA
ETH,Ethiopia,September,1961,NA
ETH,Ethiopia,October,1961,NA
ETH,Ethiopia,November,1961,NA
ETH,Ethiopia,December,1961,NA
FIN,Finland,January,1961,2.781
FIN,Finland,February,1961,5.771
FIN,Finland,March,1961,3.104
FIN,Finland,April,1961,-1.069
FIN,Finland,May,1961,-0.013
FIN,Finland,June,1961,2.193
FIN,Finland,July,1961,0.65
FIN,Finland,August,1961,-0.356
FIN,Finland,September,1961,0.12
FIN,Finland,October,1961,4.699
FIN,Finland,November,1961,2.587
FIN,Finland,December,1961,-1.645
FRA,France,January,1961,0.098
FRA,France,February,1961,3.417
FRA,France,March,1961,1.726
FRA,France,April,1961,2.68
FRA,France,May,1961,-0.249
FRA,France,June,1961,0.543
FRA,France,July,1961,-0.511
FRA,France,August,1961,-0.072
FRA,France,September,1961,2.906
FRA,France,October,1961,0.82
FRA,France,November,1961,-0.313
FRA,France,December,1961,0.435
GAB,Gabon,January,1961,-0.024
GAB,Gabon,February,1961,-0.529
GAB,Gabon,March,1961,-0.018
GAB,Gabon,April,1961,0.015
GAB,Gabon,May,1961,0.104
GAB,Gabon,June,1961,-0.708
GAB,Gabon,July,1961,-0.144
GAB,Gabon,August,1961,-0.477
GAB,Gabon,September,1961,-0.036
GAB,Gabon,October,1961,-0.165
GAB,Gabon,November,1961,-0.211
GAB,Gabon,December,1961,0.029
GEO,Georgia,January,1961,NA
GEO,Georgia,February,1961,NA
GEO,Georgia,March,1961,NA
GEO,Georgia,April,1961,NA
GEO,Georgia,May,1961,NA
GEO,Georgia,June,1961,NA
GEO,Georgia,July,1961,NA
GEO,Georgia,August,1961,NA
GEO,Georgia,September,1961,NA
GEO,Georgia,October,1961,NA
GEO,Georgia,November,1961,NA
GEO,Georgia,December,1961,NA
